16.7	2.6851444	20.0	12.0	16.7	5.536754507628294	2.9586320276609324	23.0	2.0	5.536754507628294	4000	10.652100563049316	-16.504004	1.9644158	13.630397
4.0	0.0	4.0	4.0	4.0	5.541926541926542	3.0336771614720375	23.0	2.0	5.541926541926542	8000	24.022831201553345	-34.547184	5.966346	28.536482
32.4	0.8	34.0	31.0	32.4	6.57032967032967	7.601691461650535	88.0	2.0	6.57032967032967	12000	38.338911056518555	-49.409023	10.262416	41.949387
45.2	1.7204651	47.0	42.0	45.2	8.414646996838778	12.557909543552642	176.0	2.0	8.414646996838778	16000	52.3860125541687	-58.21141	13.915012	50.92979
39.0	1.4142135	41.0	36.0	39.0	9.567049808429118	13.50816790348085	176.0	2.0	9.567049808429118	20000	66.23868298530579	-69.05991	18.383139	61.876793
35.4	0.48989797	36.0	35.0	35.4	10.308419243986254	13.94152853083637	176.0	2.0	10.308419243986254	24000	80.23124241828918	-76.9856	18.074	69.059105
63.9	1.0440307	66.0	62.0	63.9	11.52696582955949	15.639167714177216	176.0	2.0	11.52696582955949	28000	94.88467597961426	-84.6074	25.0724	76.895485
9.5	1.2041595	13.0	9.0	9.5	12.980519480519481	21.697644338960163	329.0	2.0	12.980519480519481	32000	108.94646430015564	-92.96002	24.72924	85.43881
42.9	0.29999998	43.0	42.0	42.9	14.215360253365004	23.339865989907246	329.0	2.0	14.215360253365004	36000	123.44281482696533	-102.28121	29.072056	95.02373
38.8	0.8717798	40.0	37.0	38.8	14.265335235378032	23.23526476585231	329.0	2.0	14.265335235378032	40000	137.51428151130676	-113.772644	33.155827	105.5958
35.0	0.0	35.0	35.0	35.0	13.016577856719953	21.693373381742617	329.0	2.0	13.016577856719953	44000	152.26131415367126	-121.543655	29.367973	111.743996
29.0	0.0	29.0	29.0	29.0	12.625789473684211	20.911869411209228	329.0	2.0	12.625789473684211	48000	167.977201461792	-133.56927	55.589027	121.499306
38.8	0.4	39.0	38.0	38.8	12.43352462936394	20.27025098628771	329.0	2.0	12.43352462936394	52000	182.97033977508545	-144.14012	36.592922	131.23605
41.4	0.66332495	43.0	41.0	41.4	12.658001808318264	20.103099748928457	329.0	2.0	12.658001808318264	56000	197.70152068138123	-153.5629	50.49492	140.38235
37.4	0.66332495	39.0	37.0	37.4	12.56	19.650349689813083	329.0	2.0	12.56	60000	212.73465275764465	-168.13548	50.971596	153.75832
36.5	0.5	37.0	36.0	36.5	13.06	19.6709998915839	329.0	2.0	13.06	64000	227.83767580986023	-181.5221	117.83294	165.54855
35.0	3.8729835	39.0	25.0	35.0	13.484626066256695	19.642970047103404	329.0	2.0	13.484626066256695	68000	242.98795223236084	-191.43756	105.06599	177.5821
38.1	1.1357816	40.0	36.0	38.1	13.875674633770238	19.621283319042064	329.0	2.0	13.875674633770238	72000	257.5493838787079	-201.18617	133.58682	185.79057
34.0	1.264911	36.0	32.0	34.0	14.147058823529411	19.56663692685121	329.0	2.0	14.147058823529411	76000	272.6537182331085	-212.14839	151.90707	195.09229
32.8	10.447967	39.0	10.0	32.8	14.397119711971197	19.559505339595976	329.0	2.0	14.397119711971197	80000	286.7285153865814	-224.62993	147.22058	208.13461
